lat,lon
3.770914542644715084e+01,-1.224777349493845549e+02
3.773019969091870252e+01,-1.224880148105336133e+02
3.773230511736586124e+01,-1.224992292045144069e+02
3.772388341157724057e+01,-1.224908184090288046e+02
3.771335627934146117e+01,-1.224964256060192014e+02
3.771967255868293023e+01,-1.225020328030095982e+02
3.772177798513008184e+01,-1.224945565403557453e+02
3.773651597026017157e+01,-1.224768004165528197e+02
3.772809426447155090e+01,-1.224796040150480110e+02
3.771125085289430956e+01,-1.224852112120384078e+02
3.773862139670732319e+01,-1.225029673358413334e+02
3.774072682315448191e+01,-1.224824076135432165e+02
3.774493767604879224e+01,-1.225048364015048037e+02
3.775335938183741291e+01,-1.224810058142956137e+02
3.775546480828456453e+01,-1.225071727335841274e+02
3.774914852894310258e+01,-1.224936220075240101e+02
3.775757023473172325e+01,-1.225034346022572009e+02
3.776599194052034392e+01,-1.224866130112860105e+02
3.776178108762603358e+01,-1.224922202082764073e+02
3.776388651407318520e+01,-1.224753986173052169e+02
3.771546170578861989e+01,-1.224739968180576284e+02
3.771405808815718075e+01,-1.224515680300960412e+02
3.770774180881571880e+01,-1.224627824240768348e+02
3.771616351460433947e+01,-1.224440917674421740e+02
3.771826894105149108e+01,-1.224571752270864380e+02
3.773300692618158081e+01,-1.224693241538989525e+02
3.772669064684011175e+01,-1.224683896210672316e+02
3.772037436749864980e+01,-1.224609133584133644e+02
3.772458522039296014e+01,-1.224459608331056444e+02
3.773090149973442209e+01,-1.224431572346104389e+02
3.773511235262873242e+01,-1.224655860225720261e+02
3.774353405841735309e+01,-1.224487644316008357e+02
3.773932320552304276e+01,-1.224543716285912325e+02
3.774704310249594386e+01,-1.224711932195624229e+02
3.774985033775882215e+01,-1.224525025629277764e+02
3.775827204354743571e+01,-1.224585770263340407e+02
3.774774491131166343e+01,-1.224599788255816293e+02
3.776458832288890477e+01,-1.224641842233244233e+02
3.775195576420597376e+01,-1.224697914203148201e+02
3.775616661710028410e+01,-1.224473626323532471e+02
3.778072992565042654e+01,-1.224838094127908192e+02
3.778283535209757815e+01,-1.225062382007523922e+02
3.777230821986180587e+01,-1.224903511426129370e+02
3.779546791078050916e+01,-1.225006310037619954e+02
3.777441364630895748e+01,-1.224950238067715986e+02
3.777651907275611620e+01,-1.224987619380985393e+02
3.779125705788619882e+01,-1.224782022158004224e+02
3.778704620499188849e+01,-1.224894166097812160e+02
3.777020279341465425e+01,-1.224978274052668041e+02
3.778915163143904721e+01,-1.224819403471273489e+02
3.777862449920326782e+01,-1.224725950188100256e+02
3.778985344025476678e+01,-1.224669878218196288e+02
3.778353716091329773e+01,-1.224651187561561585e+02
3.777722088157183578e+01,-1.224613806248292320e+02
3.779406429314907712e+01,-1.224557734278388352e+02
3.777511545512467706e+01,-1.224501662308484384e+02
3.776669374933605638e+01,-1.224567079606705704e+02
3.776879917578321511e+01,-1.224529698293436439e+02
3.777301002867752544e+01,-1.224417554353628503e+02
3.778564258736045645e+01,-1.224445590338580416e+02
3.770984723526287041e+01,-1.224403536361152476e+02
3.774142863197020148e+01,-1.224375500376200563e+02
3.772247979394580142e+01,-1.224347464391248508e+02
3.772949788210299005e+01,-1.224319428406296595e+02
3.774213044078591395e+01,-1.224263356436392627e+02
3.772107617631436938e+01,-1.224235320451440572e+02
3.771686532342005904e+01,-1.224291392421344540e+02
3.773581416144445200e+01,-1.224207284466488659e+02
3.772739245565583133e+01,-1.224272701764709979e+02
3.774423586723307267e+01,-1.224188593809853955e+02
3.770844361763143837e+01,-1.224179248481536604e+02
3.774634129368022428e+01,-1.224151212496584691e+02
3.771897074986721066e+01,-1.224123176511632636e+02
3.771265447052574871e+01,-1.224067104541728810e+02
3.773370873499729328e+01,-1.224095140526680723e+02
3.775055214657453462e+01,-1.224039068556776755e+02
3.773160330855014166e+01,-1.224020377900142051e+02
3.773791958789160361e+01,-1.223982996586872787e+02
3.772528702920867971e+01,-1.224011032571824842e+02
3.771054904407858999e+01,-1.223954960601920874e+02
3.777160641104608629e+01,-1.224305410413820567e+02
3.775406119065312538e+01,-1.224398863696993800e+02
3.777792269038755535e+01,-1.224314755742137919e+02
3.779195886670191840e+01,-1.224333446398772480e+02
3.778143173446614611e+01,-1.224389518368676448e+02
3.776037746999459443e+01,-1.224361482383724535e+02
3.778002811683470696e+01,-1.224277374428868512e+02
3.775265757302169334e+01,-1.224249338443916599e+02
3.779266067551763797e+01,-1.224221302458964686e+02
3.776318470525746562e+01,-1.224193266474012631e+02
3.778423896972901730e+01,-1.224165230489060718e+02
3.779476610196479669e+01,-1.224146539832426015e+02
3.775897385236315529e+01,-1.224137194504108663e+02
3.778844982262332763e+01,-1.224109158519156750e+02
3.776739555815177596e+01,-1.223968978594396759e+02
3.777581726394039663e+01,-1.224053086549252782e+02
3.778634439617617602e+01,-1.223997014579348814e+02
3.776950098459893468e+01,-1.224081122534204695e+02
3.775476299946884495e+01,-1.224025050564300727e+02
3.776107927881031401e+01,-1.224062431877570134e+02
